id,a_volume,b_volume,c_volume,d_volume,from_a_volume0,from_a_volume1,from_a_volume2,from_b_volume0,from_b_volume1,from_b_volume2,from_c_volume0,from_c_volume1,from_c_volume2,from_d_volume0,from_d_volume1,from_d_volume2
0,413,454,300,0,0,22,123,266,0,0,51,0,0,0,0,0
1,462,171,494,57,0,97,0,0,0,0,171,226,0,0,0,57
2,452,0,463,37,0,0,0,0,0,0,0,439,24,0,0,13
3,576,37,426,40,2,0,0,0,1,0,13,397,16,0,0,0
4,623,452,171,0,0,0,0,452,0,0,0,171,0,0,0,0
5,180,0,180,0,0,0,0,0,0,0,0,180,0,0,0,0
6,139,0,139,0,0,0,0,0,0,0,0,139,0,0,0,0
7,117,0,116,0,0,116,0,0,0,0,0,0,0,0,0,0
8,396,187,419,0,0,232,0,0,0,187,0,0,0,0,0,0
9,56,44,0,0,0,44,0,0,0,0,0,0,0,0,0,0
10,218,239,171,286,47,0,0,0,239,0,0,171,0,0,0,0
11,425,218,207,0,136,47,0,0,171,0,0,0,71,0,0,0
12,196,207,403,0,0,95,0,0,0,136,71,101,0,0,0,0
13,597,659,49,0,0,455,0,0,142,24,25,0,0,0,0,0
14,18,27,21,0,0,6,3,9,0,0,0,0,0,0,0,0
15,297,139,0,117,117,0,139,0,0,0,0,0,0,0,0,0
16,533,1930,297,1670,19,176,189,87,567,93,0,0,0,28,994,62
17,1964,270,1930,0,0,747,0,152,0,0,118,1065,0,0,0,0
18,270,144,180,0,0,0,118,0,0,0,0,26,152,0,0,0
19,2348,815,2863,0,0,411,84,66,0,404,261,1787,0,0,0,0
20,815,799,16,0,16,329,0,0,470,0,0,0,0,0,0,0
21,799,3258,1036,1923,0,12,150,287,667,135,560,182,147,0,1108,1
22,249,16,265,0,0,249,0,0,0,16,0,0,0,0,0,0
23,1705,2863,189,1347,0,189,946,570,245,0,0,0,0,0,1102,0
24,46,17,42,0,2,5,0,0,0,9,3,0,0,0,0,0
25,14,57,12,59,0,0,0,0,26,0,7,5,0,0,24,9
26,63,60,3,0,0,48,0,0,12,0,0,0,3,0,0,0
